epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,323.143,0.906,0.59759,0.97514,0.99488,1,0.995,0.82259,0.70418,0.5054,0.77987,0.0603847,0.00338474,0.00338474
45,330.21,0.74165,0.51104,0.86592,0.99436,1,0.995,0.87268,0.59632,0.41718,0.78055,0.0594417,0.00344168,0.00344168
46,337.382,0.84286,0.62232,0.91325,0.99436,1,0.995,0.87268,0.59632,0.41718,0.78055,0.0584976,0.00349763,0.00349763
47,344.61,0.86777,0.50611,0.89467,0.99406,1,0.995,0.7239,0.91998,0.53796,0.88131,0.0575526,0.00355258,0.00355258
48,351.801,0.83913,0.51226,0.87404,0.99406,1,0.995,0.7239,0.91998,0.53796,0.88131,0.0566065,0.00360655,0.00360655
49,358.783,0.73892,0.44048,0.87133,0.99435,1,0.995,0.83495,0.66082,0.43895,0.81016,0.0556595,0.00365952,0.00365952
50,365.748,0.85308,0.55318,0.86258,0.99435,1,0.995,0.83495,0.66082,0.43895,0.81016,0.0547115,0.0037115,0.0037115
51,372.729,0.68009,0.46162,0.91377,0.99491,1,0.995,0.77362,0.85209,0.56961,0.88109,0.0537625,0.0037625,0.0037625
52,379.823,0.76796,0.54983,0.89633,0.99491,1,0.995,0.77362,0.85209,0.56961,0.88109,0.0528125,0.0038125,0.0038125
53,386.866,0.82259,0.56735,0.91746,0.99491,1,0.995,0.77362,0.85209,0.56961,0.88109,0.0518615,0.00386152,0.00386152
54,394.68,0.85008,0.6292,0.92135,0.98268,1,0.995,0.85186,0.68883,0.87253,0.79831,0.0509095,0.00390954,0.00390954
55,402.709,0.86502,1.02385,0.87386,0.98268,1,0.995,0.85186,0.68883,0.87253,0.79831,0.0499566,0.00395658,0.00395658
56,410.763,0.92683,0.93725,0.92892,0.98268,1,0.995,0.85186,0.68883,0.87253,0.79831,0.0490026,0.00400263,0.00400263
57,418.797,0.55914,0.77396,0.7922,0.99205,1,0.995,0.83384,0.63959,0.55324,0.80092,0.0480477,0.00404768,0.00404768
58,426.746,0.70594,0.49191,0.87645,0.99205,1,0.995,0.83384,0.63959,0.55324,0.80092,0.0470917,0.00409174,0.00409174
59,434.701,0.68651,0.46302,0.81583,0.99205,1,0.995,0.83384,0.63959,0.55324,0.80092,0.0461348,0.00413482,0.00413482
60,442.658,0.5864,0.49096,0.83118,0.99194,1,0.995,0.86826,0.68224,0.64612,0.81694,0.0451769,0.0041769,0.0041769
61,449.864,0.88333,0.73386,0.92164,0.99194,1,0.995,0.86826,0.68224,0.64612,0.81694,0.044218,0.004218,0.004218
62,457.081,0.85954,0.73464,0.92517,0.99194,1,0.995,0.86826,0.68224,0.64612,0.81694,0.0432581,0.0042581,0.0042581
63,464.227,0.81326,0.65807,0.88676,0.99359,1,0.995,0.80563,0.65984,0.85708,0.84344,0.0422972,0.00429722,0.00429722
64,471.542,0.70853,0.60813,0.88361,0.99359,1,0.995,0.80563,0.65984,0.85708,0.84344,0.0413353,0.00433535,0.00433535
65,478.56,0.77258,0.64539,0.88944,0.99359,1,0.995,0.80563,0.65984,0.85708,0.84344,0.0403725,0.00437248,0.00437248
66,485.647,0.799,0.79295,0.8888,0.99251,1,0.995,0.81038,0.70636,0.49381,0.85376,0.0394086,0.00440863,0.00440863
67,492.575,0.73363,0.54792,0.87681,0.99251,1,0.995,0.81038,0.70636,0.49381,0.85376,0.0384438,0.00444378,0.00444378
68,499.558,0.58395,0.52262,0.85034,0.99251,1,0.995,0.81038,0.70636,0.49381,0.85376,0.0374779,0.00447795,0.00447795
69,506.596,0.83239,0.55066,0.84977,0.99121,1,0.995,0.87836,0.50649,1.1207,0.82343,0.0365111,0.00451112,0.00451112
70,513.607,0.70302,0.66835,0.87895,0.99121,1,0.995,0.87836,0.50649,1.1207,0.82343,0.0355433,0.00454331,0.00454331
71,520.638,0.77373,0.56992,0.87716,0.99121,1,0.995,0.87836,0.50649,1.1207,0.82343,0.0345745,0.0045745,0.0045745
72,527.897,0.59665,0.83249,0.82702,0.99226,1,0.995,0.86335,0.54297,0.56846,0.8371,0.0336047,0.0046047,0.0046047
73,535.076,0.65078,0.56817,0.86436,0.99226,1,0.995,0.86335,0.54297,0.56846,0.8371,0.0326339,0.00463392,0.00463392
74,542.194,0.72538,0.6271,0.85671,0.99226,1,0.995,0.86335,0.54297,0.56846,0.8371,0.0316621,0.00466215,0.00466215
75,549.268,0.62052,0.69146,0.91853,0.99447,1,0.995,0.89696,0.48778,0.94117,0.82487,0.0306894,0.00468938,0.00468938
76,556.493,0.57971,0.47067,0.8724,0.99447,1,0.995,0.89696,0.48778,0.94117,0.82487,0.0297156,0.00471563,0.00471563
77,563.644,0.62808,0.48472,0.82462,0.99447,1,0.995,0.89696,0.48778,0.94117,0.82487,0.0287409,0.00474088,0.00474088
78,570.897,0.62741,0.57273,0.90111,0.99378,1,0.995,0.86202,0.61115,0.57836,0.84473,0.0277651,0.00476515,0.00476515
79,578.342,0.76594,0.92795,0.88442,0.99378,1,0.995,0.86202,0.61115,0.57836,0.84473,0.0267884,0.00478842,0.00478842
80,585.416,0.71194,0.70443,0.86,0.99378,1,0.995,0.86202,0.61115,0.57836,0.84473,0.0258107,0.00481071,0.00481071
81,592.599,0.77228,0.62527,0.91917,0.99412,1,0.995,0.89026,0.47377,0.5583,0.82138,0.024832,0.004832,0.004832
82,599.963,0.63624,0.56384,0.87894,0.99412,1,0.995,0.89026,0.47377,0.5583,0.82138,0.0238523,0.00485231,0.00485231
83,607.396,0.61775,0.5838,0.90768,0.99412,1,0.995,0.89026,0.47377,0.5583,0.82138,0.0228716,0.00487162,0.00487162
84,614.631,0.6959,0.55461,0.92475,0.99417,1,0.995,0.84874,0.61599,0.48076,0.85344,0.0218899,0.00488994,0.00488994
85,621.792,0.69513,0.52428,0.92765,0.99417,1,0.995,0.84874,0.61599,0.48076,0.85344,0.0209073,0.00490728,0.00490728
86,629.1,0.68953,0.55617,0.88175,0.99417,1,0.995,0.84874,0.61599,0.48076,0.85344,0.0199236,0.00492362,0.00492362
87,636.19,0.74376,0.4756,0.87419,0.99417,1,0.995,0.84874,0.61599,0.48076,0.85344,0.018939,0.00493898,0.00493898
88,643.302,0.66665,0.65056,0.87687,0.99428,1,0.995,0.83086,0.61614,0.5447,0.85046,0.0179533,0.00495334,0.00495334
89,650.385,0.67688,0.44404,0.86276,0.99428,1,0.995,0.83086,0.61614,0.5447,0.85046,0.0169667,0.00496672,0.00496672
90,657.595,0.72545,0.59849,0.89327,0.99428,1,0.995,0.83086,0.61614,0.5447,0.85046,0.0159791,0.0049791,0.0049791
91,664.957,0.76001,0.54732,0.88161,0.99428,1,0.995,0.83086,0.61614,0.5447,0.85046,0.0149905,0.0049905,0.0049905
92,673.046,0.79261,0.45786,0.88109,0.99185,1,0.995,0.84073,0.71904,0.52161,0.91836,0.0140009,0.0050009,0.0050009
93,680.294,0.78342,0.45344,0.87962,0.99185,1,0.995,0.84073,0.71904,0.52161,0.91836,0.0130103,0.00501032,0.00501032
94,687.638,0.7562,0.47362,0.87828,0.99185,1,0.995,0.84073,0.71904,0.52161,0.91836,0.0120187,0.00501874,0.00501874
